"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"00000","United States *",12761337.0,12910022.0,13142873.0,13332316.0,13603933.0,13749806.0,13867469.0,14037228.0,14208569.0,14382363.0,14535003.0,14681501.0,14651039.0,14805611.0,14835187.0,14559543.0,14394547.0,14352850.0,14420312.0,14628021.0,14721350.0,14926098.0,15079917.0,15240843.0,15285828.0,15496189.0,15591850.0,15796460.0,16019758.0,16152257.0,16257151.0,16358863.0,16569591.0,16637926.0,16848748.0,17083137.0,17104555.0,17432909.0,17721657.0,17849912.0,18003399.0,18223577.0,18347425.0,18378803.0,18470156.0,18656207.0,18821359.0,19032580.0,19237435.0,19379232.0,19617288.0,19937963.0,20242215.0,20552653.0,20742723.0,20909853.0,21115309.0,21329877.0,21540325.0,21747394.0,21561139.0,19520114.0,21170252.0
"01000","Alabama",153077.8,155409.9,156809.7,160315.8,161732.8,163926.5,165313.1,166419.0,167130.4,169652.4,171802.3,172470.3,172088.8,173859.5,174178.6,170582.1,168718.5,168375.9,169075.5,170344.1,171057.9,174016.2,178045.5,178760.9,178594.7,180756.7,182995.5,185372.6,185946.1,187360.7,186205.4,186703.3,191361.7,191087.0,193398.3,192819.1,190838.2,194511.1,196927.7,197873.7,197620.9,200190.9,201704.0,201274.1,201819.8,204301.2,204782.5,206915.3,208788.9,209318.9,210957.6,214517.5,217867.9,220377.9,221504.3,224372.7,225565.2,226927.0,229328.2,230750.1,229831.4,209852.3,228062.3
"02000","Alaska",37393.9,38641.2,40259.9,42859.7,42664.7,44378.4,45039.4,45745.9,46468.8,48781.9,49648.2,51111.8,52447.8,55938.1,57386.3,53263.8,50559.0,49263.8,48626.8,50156.9,51607.4,52558.1,53506.4,54119.1,53936.8,56481.1,56527.7,58390.1,57909.3,58077.9,57734.9,57148.1,57277.7,56002.2,57194.9,56026.2,56172.5,56614.0,55991.2,54224.6,51408.5,51420.2,50413.2,49670.5,49040.8,49678.6,49823.1,50479.7,51335.8,51284.3,51831.4,52496.4,53536.9,54207.3,54662.3,54765.1,54137.6,54279.9,54449.9,54674.7,52864.4,45644.4,50412.9
"04000","Arizona",219879.5,225374.3,232290.1,235386.5,242418.5,244980.6,250030.6,255187.1,257836.6,261285.7,265218.6,264640.1,262560.9,261723.0,259804.9,252961.6,246427.3,242454.2,240994.8,245182.1,243054.1,246779.2,249707.1,252960.7,253318.0,255908.6,258451.6,263846.4,265948.7,268280.3,268119.4,269924.2,272162.0,273209.5,275807.4,278851.2,280049.2,283146.8,287223.2,288986.3,293993.6,298042.6,299084.9,303338.7,305213.3,311371.0,316396.5,319245.2,324419.9,326751.9,332866.0,336548.6,344512.8,348608.0,352675.5,357076.8,361379.7,366904.9,373173.0,379018.8,377475.9,350140.9,378296.5
"05000","Arkansas",87648.2,88484.4,89890.7,92549.3,92836.0,94824.6,95041.7,95104.0,94145.5,95605.0,96515.6,101701.5,97341.8,99798.2,100177.6,98739.8,98668.1,95185.3,96194.3,97886.9,97460.7,100516.0,102645.8,103260.5,103811.0,104662.4,105516.3,106441.5,107873.4,107912.8,107609.0,107480.0,112155.1,112076.3,113381.9,113445.0,114286.2,116038.3,116793.2,117489.3,116119.5,117385.4,118743.6,118688.7,118096.1,119121.6,119008.5,120541.0,121967.2,122411.9,122755.4,124779.4,125956.3,127670.5,128085.0,129333.4,129192.6,130471.2,131556.2,132596.4,131818.0,120812.4,130709.5
"06000","California",1710394.1,1733114.0,1770072.6,1797014.8,1851822.8,1859552.1,1883409.0,1904621.4,1915714.5,1940309.5,1965888.9,1999370.9,1971420.5,2012175.2,2019429.0,1957726.6,1946950.0,1911750.8,1902362.4,1916021.3,1941913.3,1957562.4,1971285.9,2023285.8,2029341.7,2046914.7,2053814.8,2067275.9,2109756.2,2125623.5,2149522.7,2191456.0,2201484.7,2229158.6,2271836.2,2343563.0,2331240.9,2376150.4,2434524.7,2454394.8,2509478.7,2561022.0,2579679.4,2588392.9,2629923.1,2646649.3,2688163.1,2719666.7,2766033.0,2805689.6,2850168.9,2902262.3,2918947.6,2966250.1,2991611.8,3023522.6,3063191.2,3119173.7,3143837.3,3205000.1,3189702.6,2893053.9,3120386.1
"08000","Colorado",215960.0,218742.0,222965.7,223561.9,228594.0,228935.5,233250.0,234245.8,237969.5,243832.1,247971.0,254831.6,253046.4,258579.4,259272.9,252422.1,249982.9,245680.9,248141.0,250871.3,251657.1,252805.4,256233.3,261946.9,260738.6,263542.4,265140.9,267818.9,270426.9,272863.8,273625.2,277459.5,283685.8,285331.4,290319.1,294197.5,297794.1,303130.4,308415.2,313423.8,313637.6,317429.8,319625.3,321276.9,318990.4,324297.0,330718.6,337023.3,340381.2,343858.0,350706.6,357756.4,365422.4,371053.9,374189.9,379145.3,384026.7,390214.3,396839.6,400863.4,400041.2,365008.7,394271.4
"09000","Connecticut",205563.8,207535.4,208749.0,212795.6,221184.4,221181.8,222693.0,226597.9,236117.7,237623.7,238893.1,236955.9,249305.9,244980.8,238499.1,229519.0,237667.2,235914.5,236131.8,237973.0,236171.5,238822.2,239321.5,237891.0,233084.6,237232.8,237603.4,239344.6,242177.1,244030.3,244558.1,245692.1,243486.8,242638.8,244773.1,245611.5,242307.4,246620.2,250914.7,255273.1,260068.0,262692.0,262875.5,263855.2,265361.8,266487.8,266548.6,268591.0,268779.2,272651.9,274028.4,274820.3,277730.1,277938.0,282218.5,281242.4,285446.1,286646.4,288493.2,290703.0,288368.1,262708.3,283601.4
"10000","Delaware",50938.8,49992.1,50351.7,56830.1,54220.3,55457.2,55287.7,54861.8,55813.1,57460.8,56296.2,55555.3,54969.0,55034.8,55006.6,54100.0,56858.3,57578.2,57778.9,56853.9,57969.0,57243.0,57930.1,58804.8,59694.6,60474.2,61611.6,61506.7,62820.7,62162.2,61770.8,60713.1,59956.4,59937.4,60587.8,63548.5,64409.4,66988.9,68913.2,69887.5,71409.8,73021.8,71096.0,70663.8,68717.5,69411.3,69337.8,69670.0,69724.7,68607.1,70163.9,71102.1,72283.6,73766.7,75363.2,75333.3,76249.9,76924.7,77275.7,77879.4,76283.2,71610.5,76468.0
"11000","District of Columbia",84367.6,85216.8,85499.3,86313.2,87757.7,88048.5,89473.5,89042.2,91154.2,92494.7,96332.3,96166.0,98770.5,98869.4,99876.4,100612.8,100135.1,100814.2,100970.6,101747.9,104243.6,105729.0,106561.9,107856.7,108559.5,109863.5,110776.4,110795.8,111362.6,112795.8,113208.9,113072.5,113975.0,113940.2,115310.9,116858.5,117726.9,118706.6,120477.6,121980.1,123155.7,124795.6,125345.2,126118.1,128235.7,129004.6,129439.2,131228.8,130398.6,131675.0,134664.6,134676.1,136463.6,138232.6,140037.9,140360.0,141906.1,142608.5,143764.8,145278.0,145727.8,137972.4,144653.3
